Quantity,Value,Description,Package,Part Number,Manufacturer,Supplier P/N
20,10uF,"CAP, CERM, 10uF, 10V, +/-20%, X5R, 0603",603,C1608X5R1A106M,TDK,RS: 915-9117
50,0.1uF,CAP CER 0.1UF 16V 10% X7R 0402,402,GRM155R71C104KA88D,Murata Electronics North America,RS: 624-2317
20,2.2uF,"CAP, CERM, 2.2uF, 10V, +/-10%, X5R, 0603",603,C0603C225K8PACTU,Kemet,Farnell: 1108322
25,0.01uF,"CAP, CERM, 0.01uF, 50V, +/-5%, C0G/NP0, 0603",603,C1608C0G1H103J080AA,TDK,RS: 788-2988
30,0.01uF,"CAP, CERM, 0.01 µF, 25 V, +/- 10%, X7R, 0402",402,04023C103KAT2A,AVX,Farnell: 1327624
20,22uF,"CAP, CERM, 22uF, 16V, +/-10%, X5R, 0805",805,C2012X5R1C226K125AC,TDK,RS: 788-3023
100,18pF,"CAP, CERM, 18pF, 100V, +/-5%, C0G/NP0, 0603",603,GRM1885C2A180JA01D,MuRata,Farnell: 1740595
30,330pF,"CAP, CERM, 330pF, 50V, +/-1%, C0G/NP0, 0603",603,C1608C0G1H331F080AA,TDK,Farnell: 1856152
200,1uF,"CAP, CERM, 1uF, 10V, +/-10%, X5R, 0402",402,0402ZD105KAT2A,AVX,RS: 136-4138
50,220pF,"CAP, CERM, 220pF, 50V, +/-1%, C0G/NP0, 0603",603,06035A221FAT2A,AVX,RS: 135-6278
50,2200pF,"CAP, CERM, 2200pF, 50V, +/-10%, X7R, 0603",603,06035C222KAT2A,AVX,RS: 464-6492
20,0.47uF,"CAP, CERM, 0.47uF, 10V, +/-10%, X7R, 0603",603,C0603C474K8RACTU,Kemet,Farnell: 2522420
50,220PF,CAP CER 220PF 50V 1% NP0 0402,402,04025A221FAT2A,AVX,RS: 136-4142 
30,5.6V,"Diode, Zener, 5.6V, 500mW, SOD-123",SOD-123,MMSZ5232B-7-F,Diodes Inc.,Farnell: 2061469
5,,"Connector, Receptacle, Micro-USB Type B, SMT",Connector USB Mini B,ZX62R-B-5P,Hirose Electric Co. Ltd.,RS: 136-2263
20,10uH,"Inductor, Shielded, Ferrite, 10 µH, 0.4 A, 1.38 ohm, SMD",2.0x0.95x1.6mm,VLS201610ET-100M,TDK,RS: 903-9580
200,0,"RES, 0 ohm, 5%, 0.1W, 0603",603,CRCW06030000Z0EA,Vishay-Dale,RS: 820-6736
100,1.5K,RES 1.5K OHM 1/16W 5% 0402 SMD,402,CRCW04021K50JNED,Vishay Dale,Farnell: 9232788
100,33,"RES, 33 ohm, 5%, 0.1W, 0603",603,CRCW060333R0JNEA,Vishay-Dale,Farnell: 1692524
100,10,"RES, 10.0, 1%, 0.063 W, 0402",402,CRCW040210R0FKED,Vishay-Dale,RS: 678-8703
100,4.70k,"RES, 4.70k ohm, 1%, 0.1W, 0603",603,RC0603FR-074K7L,Yageo America,Farnell: 9238565
100,1M,"RES,1M ohm, 5%, 0.063W, 0402",402,RC0402JR-071ML,Yageo,Farnell: 9233121
200,0,"RES, 0 ohm, 5%, 0.125W, 0805",805,CRCW08050000Z0EA,Vishay-Dale,RS: 679-0800
50,1.0k,"RES, 1.0k ohm, 5%, 0.063W, 0402",402,CRCW04021K00JNED,Vishay-Dale,RS:  812-1726 
100,33k,"RES, 33k ohm, 5%, 0.063W, 0402",402,CRCW040233K0JNED,Vishay-Dale,Farnell: 9232940
10,,"Multi-Channel 12/28-Bit Inductance to Digital Converter with I2C, RGH0016A",RGH0016A,LDC1614RGH,Texas Instruments,Farnell: 3009626RL
15,,"Micropower 150 mA Low-Noise Ultra Low-Dropout Regulator, 5-pin SOT-23, Pb-Free",MF05A,LP2985AIM5-3.3/NOPB,Texas Instruments,RS: 652-0033
20,,"Low-Capacitance + / - 15 kV ESD-Protection Array for High-Speed Data Interfaces, 2 Channels, -40 to +85 degC, 5-pin SOT (DRL), Green (RoHS & no Sb/Br)",DRL0005A,TPD2E001DRLR,Texas Instruments,RS: 661-3390
10,,"Mixed Signal MicroController, RGC0064B",RGC0064B,MSP430F5528IRGC,Texas Instruments,RS: 798-4494 
20,,"Crystal, 24.000MHz, 18pF, SMD",3.2x0.8x2.5mm,ABM8-24.000MHZ-B2-T,Abracon Corportation,RS: 171-2702 
10,,"OSC, 40 MHz, 3.3 V, SMD",2.5x1x2.5mm,625L3C040M00000,CTS Electrocomponents,Digikey: CTX815CT-ND
100,330pF,"CAP, CERM, 330pF, 50V, +/-1%, C0G/NP0, 0603",603,C1608C0G1H331F080AA,TDK,RS: 147-241 
1,,35g Syringe Solder Paste,,SMD291AX10,CHIPQUIK,RS: 146-6188
